id	context-1	context-2	option-1	option-2	option-3	option-4	option-5	option-6	option-7	option-8	option-9	option-10	option-11	option-12	option-13	option-14	option-15	option-16
fea-line-03			> Heat pump energy consumption can be	> The Victorian Energy upgrades	and effective.	improvements in the efficiency of	> Insulation is more complex for walls	> High penetrations are technically	are becoming more common.	sized projects in operation.	with minimal footprint.	population.	> Relies on suitable sites being	> Requires more land than chemical	a technology provider (for a VPP)	manufacturers	in Australia.	"Spain, Germany and the United States,"
fea-line-04			time controlled to take advantage of solar	supports replacement of lamps.	> Trade in programs can also encourage	space conditioning appliances.	"and floors, but is still possible (e.g."	achievable but there may be constraints	> Australian company Redflow already	> There are potential capacity issues	> Needs to be located near transmission	> Municipal waste may offer the best local	available and close to the grid	and mechanical batteries (i.e. less	> The ability to trade energy locally	> Battery technology is improving (with		however this would be first of a kind
fea-line-05			PV generation if installed.		the removal of old appliances from		using spray foam).	to electricity networks as more systems	markets batteries for network level storage.	for the local electricity network when	infrastructure to be able to export energy	"source, which is being investigated by"	> Micro hydro is unlikely to impact	density')	is still a few years away	"alternative sources being developed,"		project in Australia.
fea-line-06					operation.		> Draught proofing is a 'no brainer'.	are connected.	> Actual feasibility depends on application.	connecting utility scale generation.	back into the electricity grid.	Council.	waterway flows and supported	> Suited to mid-large scale		e.g. hydrogen fuel cells)		
fea-line-07								> Solar energy is only generated during					wildlife	applications		> Uptake likely to be linked to		
fea-line-08								the day.								autonomous vehicles and car sharing		
fea-line-09																		
via-line-01			> A typical heat pump unit costs around	> LEDs are now cost competitive with	> About a 7% saving can be expected at	> A new air conditioning system (3kW) for	> Ceiling insulation costs around $5-10	> The generation cost is around 8 c/kWh	> Current costs for battery storage start at	> The cost of generation is around	> Wind turbines are the lowest cost	> Cost varies depending on technology	> Cost of generation expected to be	> Highly competitive economics for	> VPPs are still emerging and currently	> Electric vehicles are currently sold at a	> The retail price of GreenPower is	> The effective cost of electricity for large
via-line-02			$3500 (installed).	other lamps.	little to no cost.	a standard home costs around $1500.	per sqm	to 12 c/kWh.	"~ $1,000/kWh (fully installed)."	9c per kWh to 16c per kWh.	renewable energy with a generation	and type of biomass.	higher than other technologies and	for mid-large scale applications	only available in limited form	high premium over internal combustion	around 5 - 8c per kWh more than fossil	systems is around 30 to 40 c per kWh
via-line-03			"> Cheaper direct ""bolt-on"" heat pumps are"	> Paybacks depend on how many hours	> Replacement of old appliances is done		> Full retrofit of house from base to 5 star	> If the majority of power consumed	> Incremental cost of batteries with solar	> Declining cost of solar PV will	cost of between 5c per kWh and 11c	> The effective price varies from around	larger scale hydroelectric	compared with other utility battery	> Microgrids not likely to be a viable	engine vehicles	fuel energy.	but is expected to drop sharply to
via-line-04			also available.	per day a light is in use.	when they are due for retirement		"is possible and cost effective, however"	on-site during the daytime and little	"is still too high in Australia, but costs"	improve viability over time.	per kWh.	9c per kWh to 20c per kWh.		technologies	long term strategy	> Limited options vs current vehicles	> Group purchase of 100% renewable	(to around 10-20c per kWh) by 2020
via-line-05			> Heat pumps are still eligible for Small				retrofits beyond 5 star may not be	"or no electricity is exported, solar is"	are coming down quickly		> Wind farms are already			> Established technology	> Business case depends on the number	> Would benefit from the introduction of	energy could be price competitive with	> For smaller systems (below 30MW)
via-line-06			Technology Certificates (i.e. Renewable				possible (or economic)	already cost effective because any			generating energy for regional towns				of participants and (often) their location	policy on stricter vehicle emissions	existing household contracts.	the effective cost of electricity is even
via-line-07			"Energy Certificates or ""RECS"") from the"				> The average cost of double glazed glass	energy generated that is unused			in Australia like in Hepburn Shire				(vs capacity of the local network)			higher (up to 60c per kWh).
via-line-08			the Federal Government that reduces				"is around $15,000 per household."	on site is usually exported into the										
via-line-09			their cost.					electricity system at a lower price.										
context-subTitle	The emissions context	The emissions context																
context-mainTitle		Electricity baseline for Hepburn Shire																
context-desc-l01		Hepburn's emissions from electricity																
context-desc-l02		"amounts to 67,200 tonnes of carbon"																
context-desc-l03		emissions annually. Electricity is																
context-desc-l04		used for a range of daily business																
context-desc-l05		"and household needs such as lighting,"																
context-desc-l06		"heating, hot water,equipment and"																
context-desc-l07		appliances.																
context-desc-l08																		
context-desc-l09		We reduce 22% of electricity																
context-desc-l10		emissions through local generation																
context-desc-l11		of renewable energy from rooftop																
context-desc-l12		solar and Hepburn Wind.																
context-desc-l13																		
context-desc-l14																		
context-desc-l15																		
context-desc-l16																		
context-desc-l17																		
context-desc-l18																		
context-desc-l19																		
context-desc-l20																		
context-desc-l21																		
context-desc-l22																		
context-desc-l23																		
context-desc-l24																		
context-desc-l25		Population																
context-desc-l26		# households																
context-desc-l27		-------------------------------------------------------																
context-desc-l28		Electricity supplied by:																
context-desc-l29		#NAME?																
context-desc-l30		#NAME?																
context-desc-l31		#NAME?																
context-desc-l32		Total elec. consumed																
context-desc-l33		% Renewable electricity																
context-desc-l34		Net emissions																
context-desc-l35																		
context-desc-l36																		
context-desc-l37																		
context-desc-l38																		
context-desc-l39																		
elecChart-emissions-solar		"8,420"																
elecChart-emissions-wind		"12,485"																
elecChart-emissions-total		"70,715"																
elecChart-emissions-reductionPct		22.80%																
elecData-shire-population		"15,753"																
elecData-shire-households		"8,648"																
elecData-shire-solar		"7,260 MWh"																
elecData-shire-wind		"10,760 MWh"																
elecData-shire-grid		"60,960 MWh"																
elecData-shire-total		"78,980 MWh"																
elecData-shire-renewablePct		22.80%																
elec-data-shire-emissions		"70,715 tCO2-e"																
elecData-birch-population		"5,570"																
elecData-birch-households		"3,057"																
elecData-birch-pctSolar		16%																
elecData-birch-elecConsumed		"30,100 MWh"																
elecData-birch-solarGen		"1,415 MWh"																
elecData-birch-windGen		"10,760 MWh"																
elecData-cameron-population		"1,889"																
elecData-cameron-households		"1,037"																
elecData-cameron-pctSolar		21%																
elecData-cameron-elecConsumed		"8,860 MWh"																
elecData-cameron-solarGen		625 MWh																
elecData-coliban-population		"2,207"																
elecData-coliban-households		"1,157"																
elecData-coliban-pctSolar		23%																
elecData-coliban-elecConsumed		"9,500 MWh"																
elecData-coliban-solarGen		745 MWh																
elecData-creswick-population		"4,338"																
elecData-creswick-households		"2,381"																
elecData-creswick-pctSolar		21%																
elecData-creswick-elecConsumed		"18,290 MWh"																
elecData-creswick-solarGen		"1,140 MWh"																
elecData-holcombe-population		"1,850"																
elecData-holcombe-households		943																
elecData-holcombe-pctSolar		24%																
elecData-holcombe-elecConsumed		"5,850 MWh"																
elecData-holcombe-solarGen		690 MWh																
elec-sources-l00		Data sources																
elec-sources-l01		"Australian Bureau of Statistics (ABS), Powercor"																
elec-sources-l02		"and Hepburn Shire Council (Rates data), openNEM,"																
elec-sources-l03		Clean Energy Regulator																
elec-about-l00		About grid electricity																
elec-about-l01		Electricity from the grid that is generated outside Hepburn is																
elec-about-l02		"also partially supplied by renewable energy. In April 2018, this"																
elec-about-l03		totaled around 16% of Victoria's electricity generated																
elecMap-birch-renewablePct		35																
elecMap-clunes-renewablePct1		11																
elecMap-clunes-renewablePct2		9																
elecMap-coliban-renewablePct1		11																
elecMap-coliban-renewablePct2		5																
elecMap-creswick-renewablePct1		12																
elecMap-creswick-renewablePct2		5																
elecMap-holcombe-renewablePct		12																
context-energy-stationary-text-l01	About 37% of Hepburn's energy needs																	
context-energy-stationary-text-l02	come from 'stationary' energy sources																	
context-energy-stationary-text-l03	"that power our homes, businesses and"																	
context-energy-stationary-text-l04	infrastructure. A closer look at our																	
context-energy-stationary-text-l05	stationary energy mix is provided																	
context-energy-stationary-text-l06	below.																	
context-energy-stationary-text-l07																		
context-energy-stationary-text-l08																		
context-energy-transport-text-l01	Transport fuels power the vehicles we use to																	
context-energy-transport-text-l02	get around: they account for 63% of energy used by																	
context-energy-transport-text-l03	"Hepburn's residents, businesses and visitors. Petrol is the most"																	
context-energy-transport-text-l04	"used fuel type (56%), followed by aviation fuel (used by international"																	
context-energy-transport-text-l05	"and interstate visitors, 22%), diesel (19%) and LPG (3%). All of these"																	
context-energy-transport-text-l06	fuels produce greenhouse gases and air pollution.																	
context-energy-transport-text-l07																		
context-energy-transport-text-l08																		
context-energy-elec-amount	281 TJ (or 78.1 GWh)																	
context-energy-elec-text-l01	Electricity is used for a range of daily business and																	
context-energy-elec-text-l02	"household needs such as lighting, heating, hot water,"																	
context-energy-elec-text-l03	equipment and appliances. 22% of electricity comes 																	
context-energy-elec-text-l04	from local renewable sources: including the 25%																	
context-energy-elec-text-l05	of households with rooftop solar PV installed (8.1%																	
context-energy-elec-text-l06	"of consumption), and Hepburn Wind (13.8%)."																	
context-energy-elec-text-l07																		
context-energy-elec-text-l08																		
context-energy-elec-text-l09																		
context-energy-elec-text-l10																		
context-energy-wood-amount	259 TJ (16 kt of wood)																	
context-energy-wood-text-l01																		
context-energy-wood-text-l02																		
context-energy-wood-text-l03																		
context-energy-wood-text-l04																		
context-energy-wood-text-l05																		
context-energy-wood-text-l06	Neary 60% of households use																	
context-energy-wood-text-l07	"firewood for heating sourced,"																	
context-energy-wood-text-l08	which mostly comes from																	
context-energy-wood-text-l09	fallen timber on farming land.																	
context-energy-wood-text-l10																		
context-energy-wood-text-l11																		
context-energy-wood-text-l12																		
context-energy-wood-text-l13																		
context-energy-wood-text-l14																		
context-energy-wood-text-l15																		
context-energy-gas-amount	247 TJ																	
context-energy-gas-text-l01	Natural gas is used by households for																	
context-energy-gas-text-l02	cooking and heating both spaces																	
context-energy-gas-text-l03	and water. It is also used for																	
context-energy-gas-text-l04	industrial and commerical																	
context-energy-gas-text-l05	applications.																	
context-energy-gas-text-l06																		
context-energy-gas-text-l07	Most natural gas is piped directly																	
context-energy-gas-text-l08	to end users(90%) with the																	
context-energy-gas-text-l09	remaning consumed from																	
context-energy-gas-text-l10	bottled gas.																	
context-energy-gas-text-l11																		
context-energy-gas-text-l12																		
context-energy-gas-text-l13																		
context-energy-gas-text-l14																		
context-energy-gas-text-l15																		
energyChart-transportPct	63%																	
energyChart-stationaryPct	37%																	
energyChart-localPct	64%																	
energyChart-visitorPct	36%																	
energyChart-what-petrol	1190 PJ																	
energyChart-what-aviation	470 PJ																	
energyChart-what-diesel	400 PJ																	
energyChart-what-lpg	50 PJ																	
energyChart-what-gas	685 PJ																	
energyChart-what-gasSum	685																	
energyChart-what-elec	280 PJ																	
energyChart-what-wood	260 PJ																	
energyChart-who-local-transport	990 PJ																	
energyChart-who-local-resi	500 PJ																	
energyChart-who-local-industrial	450 PJ																	
energyChart-who-local-commercial	180 PJ																	
energyChart-who-local-agriculture	10 PJ																	
energyChart-who-visitor-transport	1110 PJ																	
energyChart-who-visitor-resi	90 PJ																	
energyChart-stationaryTotal	1230 PJ																	
energyChart-stationary-gasPct	54%																	
energyChart-stationary-gasBottledPct	gas 2%																	
energyChart-stationary-woodPct	23%																	
energyChart-stationary-elecPct	21%																	
